,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183
CuGAVal,3514,2564,2451,2160,2072,3383,2945,4249,3911,2456,2353,1676,5255,3874,3431,3911,4694,3248,2652,3200,3065,4596,4758,3779,2761,2886,4195,3309,3961,4068,3650,2932,1872,2976,3928,3191,4110,4423,3155,2438,3558,3514,2556,3240,3279,1861,1829,2803,2315,2755,2885,2583,1715,2284,2128,2248,2465,2296,2361,1239,1503,2214,1918,2679,2076,2183,1647,609,1569,1944,1838,1662,2121,1411,1013,1500,2211,1849,1812,2291,1122,1159,909,1454,1414,1467,1337,829,592,1022,1726,1558,1054,1437,841,773,948,1497,1281,1623,1230,1138,900,989,1297,1647,1609,1533,1183,750,1124,1311,1787,2222,1831,1290,938,1538,1636,1804,1400,2545,1206,955,1682,1856,1918,1730,1730,1252,1092,1883,1645,2492,2310,2489,1941,975,3545,2505,2656,2799,3023,1984,1816,2431,2358,2904,2389,2634,1665,1528,2806,4053,4371,4944,3717,1805,4854,3690,3751,6062,4730,4830,4309,3288,4820,4187,5825,6092,4242,5089,3094,6213,5162,7898,5123,3677,2954,3150,5855,5465,8498,8720
TXCase,7915,7555,8258,3449,5318,10028,9979,9782,9765,10351,8196,5655,10745,7307,10291,14916,10158,7300,7404,9305,9879,9507,8701,6020,5810,4267,8342,9042,8800,8839,9539,6226,5303,9167,8706,7598,7039,6959,4879,4455,9803,6200,6755,7018,8245,6204,7908,7282,7024,5303,5021,5559,4398,2847,6346,5407,5600,4031,4762,3824,2615,4364,4334,3680,5482,4486,2995,2060,1421,4000,4018,3456,4324,1845,3970,5342,6026,4047,3422,3827,2466,9853,17820,3392,4320,4633,4886,1694,4090,4062,5683,3534,3503,7006,2884,3409,4132,4121,4238,4036,4230,2418,2648,5130,4826,4726,5870,4885,3216,4748,5030,5252,6291,6472,6499,4304,4700,7292,5627,6826,6631,7145,71734,5455,10665,9817,10171,9239,9560,6878,4849,12935,13166,10589,11999,12826,7923,7828,13644,10987,14269,13795,14922,9769,7641,16580,18811,14697,3987,4325,6995,11510,18810,19222,17552,16796,14391,10380,9491,19850,13598,15299,14451,16360,8349,9430,18397,18802,19849,16792,17907,7780,10280,21147,23363,17064,4335,2694,8046,14829,32552,21469,18725,16311
FLCase,10109,9483,11463,10059,6336,7347,9989,8935,11433,10360,15300,12624,9194,10181,13738,11691,10330,12478,10347,9429,9796,10249,12444,12197,9334,8866,9208,9476,9986,9007,9626,7090,4753,5437,5423,7674,7671,8517,6229,4155,5813,8127,6236,6148,6351,3778,2679,3836,4118,4555,4684,4310,2969,2263,2674,3219,3270,3814,3198,2583,1872,7504,2454,3567,3182,3239,2946,1826,1803,2169,2583,3649,3189,2422,1739,3116,2355,3253,3206,3572,2521,1686,2470,2588,2542,2846,2796,1878,736,3265,1955,2628,2661,2787,1866,1411,2256,2583,3306,2908,0,5545,1520,2735,2910,3357,3449,4042,2539,1708,3661,2146,5558,3689,4471,2385,3376,4299,4115,4198,5592,2329,4867,4651,4637,4423,6256,5246,4452,6818,3919,4360,5838,5607,6933,4544,10105,4663,7458,7926,9085,9085,8409,5885,7032,8556,8376,0,17344,6277,7363,6659,8847,9994,10870,10076,9793,7992,7144,9735,9591,11336,11699,10577,8958,8445,9418,11541,13148,13000,11682,8401,11015,10434,11384,13147,0,17042,7391,8198,12075,13871,17192,0
NCCase,1640,2083,1434,1326,1537,1355,1436,2040,1981,2450,1914,1824,1967,1782,2161,2052,2480,1817,1271,1813,2124,1754,2247,2108,1621,1620,1753,1750,2356,1954,1730,1338,1317,1628,1124,1979,1545,1921,1439,620,1047,1166,2983,1351,1536,1245,565,1262,1145,1983,2004,1730,1472,1272,1355,1247,2091,1416,2584,1049,1178,952,1131,1650,0,3611,1081,1009,721,903,1225,1532,1453,1193,838,1115,1135,1555,1401,1272,1301,805,1192,951,1693,6140,1731,1281,870,920,1500,2266,1788,2198,613,2225,1538,1712,2427,2035,2320,1715,1269,1745,1927,2532,2684,2072,2299,1174,1582,1836,2406,3292,0,1615,3815,0,2884,0,2804,2057,1333,2157,7387,2466,2857,2675,2098,1515,2907,3119,2588,781,3891,3117,1972,3284,3349,3903,4101,3113,3800,2426,4891,4219,3098,4005,3441,3822,2733,3998,4196,5489,2881,5609,5872,6432,5046,4002,6495,5556,7539,6154,6819,4766,5240,5273,4853,9349,6192,6898,5258,5609,0,0,0,0,0,30683,1550,8475,6673,0
SCCase,1778,1826,1847,1457,1529,968,1556,1777,1723,2268,1947,1518,2217,1851,1809,1977,1539,2369,1448,1888,1660,1554,1983,1376,1178,1216,1651,1697,1697,1410,1553,1181,1146,1201,1233,1295,2607,3,1687,694,1007,1762,0,949,1041,611,456,721,740,909,1059,916,687,559,946,601,511,1353,1298,1064,675,853,662,1193,1628,963,658,602,334,295,416,2453,933,1886,807,799,650,1324,874,921,469,415,2664,899,1021,1194,1369,610,549,1174,326,390,866,1706,689,579,809,733,1050,925,945,785,648,829,925,1296,1145,961,772,619,877,869,1135,1066,792,1336,824,1076,903,1109,1004,1020,1410,894,1032,920,766,1238,1869,940,701,1342,1271,1495,1610,1914,1493,0,0,0,5653,0,0,0,6392,3353,0,0,4006,1218,0,1358,1425,1923,2228,2950,3222,2864,2553,2302,2490,2242,3540,3572,3408,2570,2543,2800,2655,4302,3461,2869,2327,2322,4175,2798,0,3864,7287,1871,2552,2873,4032,0
NVCase,631,985,858,843,491,875,516,729,872,932,845,831,1104,943,1353,1379,1184,1286,948,815,1220,1172,966,928,1024,997,1107,871,993,1265,988,1120,989,1018,649,729,975,887,810,742,549,527,602,1100,859,697,658,659,383,513,1407,143,532,408,401,249,527,656,604,445,286,31,638,0,829,387,506,347,138,148,285,253,406,309,279,305,195,344,492,322,384,231,66,195,889,556,602,370,462,401,381,421,768,522,389,336,0,906,466,767,803,372,563,0,949,779,705,0,1653,483,648,554,779,803,1137,879,569,723,562,1049,1212,977,0,1331,898,1054,1254,1538,1810,1184,953,1313,1096,1469,1838,2257,1162,1563,1656,1629,2371,1817,1990,0,4455,2840,2624,0,3982,2883,1140,1574,2658,2067,2432,2845,3139,2490,2316,2633,2727,2181,1503,3644,2777,2461,2231,2310,2152,2649,2502,0,3965,1076,2938,2186,0,3402,572,1396,730,1713,4435,2244
